,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
21629,158234,7.791,1.0760498,5.972096412123422,2100270760442216576,0.9870261,Kepler
21630,158235,11.298,1.3467999,6.781265603320779,2100271447636995072,0.9315009,Kepler
21631,158236,19.912,1.2969494,6.566755619229095,2100399128424804096,0.9750569,Kepler
21632,158237,1.516,0.640399,3.7732433935619305,2099755089489658752,0.95687956,Kepler
21633,158238,37.937,1.3611822,6.582428551747245,2099752478149559552,1.0313525,Kepler
21634,158239,22.812,1.2296028,6.4335418404394495,2100963762008154880,0.96835613,Kepler
21635,158240,15.861,1.2897444,6.625586805364009,2052979975061632512,1.0122393,Kepler
21636,158241,1.52,0.6428423,2.3917294008273213,2052453480794572416,0.91977096,Kepler
21637,158242,3.658,0.6866245,3.070747145325889,2052458359877482624,0.96164215,Kepler
21638,158243,31.733,1.3209314,5.945530447683854,2052449460705229952,1.2128783,Kepler
21639,158244,22.408,1.2652206,6.604508570943178,2076236089104573568,0.95921606,Kepler
21642,158247,7.639,0.7835989,3.2340058264787093,2076200836012001152,1.0713,Kepler
21644,158249,28.318,1.2303638,6.212692519299001,2100310407281926016,1.0258756,Kepler
21645,158250,13.752,1.2426653,6.27270291536837,2100459773363442432,1.2067841,Kepler
21646,158251,12.508,0.7459154,4.1166191683331075,2100457746138907776,0.8406119,Kepler
21647,158252,0.521,1.1598425,4.6152117492023805,2100413868752907392,0.986717,Kepler
21648,158253,29.424,1.1497269,6.08636676386412,2099756459578917760,1.0518423,Kepler
21649,158254,29.896,1.1281261,5.875007841752691,2099712449054731776,1.0012602,Kepler
21651,158256,4.168,0.9196358,4.2823285892015335,2052985610058974976,1.184941,Kepler
21653,158258,20.228,1.1829691,6.100609530175436,2053162287835259904,1.0231369,Kepler
21655,158260,0.225,0.9558325,4.865833381730365,2052434445498780288,1.0103403,Kepler
21656,158261,33.894,1.3002148,6.5371472384870195,2076240762029229184,0.9860514,Kepler
21657,158262,36.597,0.85467625,4.806428175809039,2076242239498000896,0.9977981,Kepler
21659,158264,0.716,0.7805338,2.8305775330787437,2076217947161599872,0.9827746,Kepler
21661,158266,2.276,0.8349838,1.7876888011044,2073295479618758784,1.0273819,Kepler
21662,158267,0.366,1.354888,6.71593777649441,2073251430433335936,0.9775027,Kepler
21663,158268,1.989,0.79236126,4.2591861627505985,2073251774030756224,0.9696843,Kepler
21664,158269,15.311,1.2996559,6.71896973211382,2100276807756225024,1.0225551,Kepler
21665,158270,36.013,1.226367,6.525019310147499,2100652256617096832,0.93076295,Kepler
21666,158271,26.066,1.1994991,6.153783432605177,2100460666716655488,0.9328165,Kepler
21667,158272,35.217,1.2715006,6.455005010914867,2100465374000890240,1.0512012,Kepler
21668,158273,3.653,0.81427383,1.872746668535916,2100425344905355392,0.83937985,Kepler
21669,158274,0.222,0.63355446,3.6562168987040167,2052989252191235072,0.80117226,Kepler
21670,158275,7.498,1.1145735,5.973354335243638,2053221592742375168,1.0022565,Kepler
21671,158276,0.347,0.786561,3.666968358084023,2052427298673484288,0.9862232,Kepler
21672,158277,26.925,1.0336647,5.634899936258897,2076253921809175296,1.0652684,Kepler
21673,158278,2.498,0.72510815,3.4647012393893952,2076247118580919936,0.9568584,Kepler
21674,158279,22.888,0.95187855,5.364483945610857,2076246190868032000,1.0171255,Kepler
21675,158280,20.438,1.0966883,5.764489984949085,2076222173409698816,0.9592823,Kepler
