 source_id mh_xgboost BP-G Prot
569 2052144346229928320 -0.113 0.46713 22.906
570 2052145166557844480 0.011 0.313616 20.69
571 2052145170863639424 -0.096 0.293454 2.483
572 2052146339094408832 -0.052 0.450963 11.78
573 2052147468659131520 -0.055 0.492116 4.761
574 2052147507325490688 -0.295 0.634947 31.025
575 2052147988352481664 -0.154 0.933751 29.484
576 2052148675556688768 -0.19 0.375196 19.135
577 2052149362751535488 0.116 0.343352 5.766
578 2052149839478722176 0.313 0.305321 7.004
579 2052149946867052288 -0.009 0.811984 17.456
580 2052150015586522752 -0.036 0.391894 4.878
581 2052150118665775616 -0.171 0.738057 27.077
582 2052150118665788928 0.089 0.412908 10.867
583 2052150840220090624 -0.304 0.43746 2.024
584 2052151115098049024 -0.173 0.378156 3.842
585 2052152317688923520 0.23 0.439017 10.309
586 2052152489487576448 -0.148 0.506797 20.749
587 2052153000577927680 -0.157 0.292667 2.6
588 2052153073603190272 -0.082 0.861315 10.925
